Year,County,"Attempts/threats to murder, assaults, harassments and related offences",Burglary and related offences,Controlled drug offences,Damage to property and to the environment,"Fraud, deception and related offences",Public order and other social code offences,Theft and related offences,Total
2023,Sligo,288.0,98.0,132.0,257.0,0.0,335.0,520.0,1630.0
2023,Tipperary,666.0,288.0,510.0,633.0,0.0,1109.0,1508.0,4714.0
2023,Waterford,706.0,188.0,909.0,745.0,0.0,1023.0,1915.0,5486.0
2023,Westmeath,547.0,245.0,330.0,449.0,0.0,600.0,1585.0,3756.0
2023,Wexford,744.0,296.0,366.0,616.0,0.0,639.0,1471.0,4132.0
2023,Wicklow,422.0,235.0,362.0,472.0,0.0,430.0,1454.0,3375.0
2024,Carlow,246.0,133.0,139.0,175.0,0.0,257.0,733.0,1683.0
2024,Cavan,403.0,141.0,164.0,274.0,0.0,416.0,502.0,1900.0
2024,Clare,406.0,199.0,174.0,384.0,0.0,441.0,940.0,2544.0
2024,Cork,2485.0,501.0,1645.0,1819.0,0.0,3173.0,6388.0,16011.0
2024,Donegal,893.0,137.0,330.0,590.0,0.0,993.0,791.0,3734.0
2024,Dublin,8539.0,3768.0,6550.0,9225.0,0.0,11603.0,38854.0,78539.0
2024,Galway,1128.0,345.0,525.0,798.0,0.0,1397.0,2436.0,6629.0
2024,Kerry,843.0,164.0,406.0,403.0,0.0,1138.0,1128.0,4082.0
2024,Kildare,954.0,474.0,958.0,841.0,0.0,879.0,3085.0,7191.0
2024,Kilkenny,354.0,143.0,204.0,253.0,0.0,549.0,659.0,2162.0
2024,Laois,398.0,165.0,609.0,285.0,0.0,398.0,882.0,2737.0
2024,Leitrim,180.0,50.0,58.0,110.0,0.0,190.0,171.0,759.0
2024,Limerick,1056.0,580.0,580.0,1113.0,0.0,1207.0,3980.0,8516.0
2024,Longford,288.0,88.0,187.0,227.0,0.0,259.0,354.0,1403.0
2024,Louth,800.0,368.0,438.0,875.0,0.0,1102.0,2502.0,6085.0
2024,Mayo,434.0,116.0,143.0,313.0,0.0,516.0,567.0,2089.0
2024,Meath,671.0,334.0,364.0,569.0,0.0,550.0,2274.0,4762.0
2024,Monaghan,253.0,143.0,130.0,216.0,0.0,388.0,303.0,1433.0
2024,Offaly,394.0,196.0,251.0,356.0,0.0,348.0,789.0,2334.0
2024,Roscommon,173.0,175.0,65.0,114.0,0.0,116.0,229.0,872.0
2024,Sligo,287.0,93.0,124.0,217.0,0.0,357.0,553.0,1631.0
2024,Tipperary,650.0,357.0,502.0,610.0,0.0,974.0,1518.0,4611.0
2024,Waterford,765.0,183.0,784.0,736.0,0.0,1137.0,1608.0,5213.0
2024,Westmeath,617.0,253.0,205.0,453.0,0.0,656.0,1467.0,3651.0
2024,Wexford,850.0,296.0,292.0,607.0,0.0,858.0,1650.0,4553.0
